date,symbol,price_usd,volume_usd,market_cap_usd
2024-02-28,BTC,57003.52673730811,51983799587.1939,1118963733317.3013
2024-02-29,BTC,62558.58202419311,87218855804.01622,1225273849241.6978
2024-03-01,BTC,61298.216861101624,67692687247.36391,1206725326872.1362
2024-03-02,BTC,62426.64052919186,36699193361.155365,1227712629022.1812
2024-03-03,BTC,62067.86680212177,25198213831.25236,1219383305483.4985
2024-03-04,BTC,63053.10543906421,27108369390.44353,1236312176673.4497
2024-03-05,BTC,68186.64593432152,74551714626.1156,1333913436699.1726
2024-03-06,BTC,64291.536557569496,96403762012.66058,1264870242318.5977
2024-03-07,BTC,66145.91927850846,73151905042.04068,1297845751759.601
2024-03-08,BTC,66944.87639053575,48853892626.0196,1317508010581.0813
2024-03-09,BTC,68315.25192078314,63346588227.32869,1340971395884.519
2024-03-10,BTC,68508.0039626159,21359706190.81524,1346027264110.4956
2024-03-11,BTC,69075.66688195744,36660543917.16198,1357390358031.5388
2024-03-12,BTC,72130.55300765681,66653067165.93465,1417772589113.9521
2024-03-13,BTC,71467.17350326062,64599341551.27301,1403692914139.1924
2024-03-14,BTC,73097.76702694128,51906601043.53671,1436631290571.5388
2024-03-15,BTC,71420.03180142345,63073551321.74747,1403843488135.24
2024-03-16,BTC,69497.7631929463,81204427005.22603,1367669237527.8738
2024-03-17,BTC,65292.31329331289,49265436012.59228,1282404282863.459
2024-03-18,BTC,68425.41565643054,47190980586.56393,1344508983079.8567
2024-03-19,BTC,67708.94360930806,51101822566.75771,1331771923948.0378
2024-03-20,BTC,62132.51737873437,80179417876.47993,1223867418062.399
2024-03-21,BTC,67819.05570684028,70836803714.91411,1332594162507.5205
2024-03-22,BTC,65535.97844847657,48393664548.05336,1287348061971.4202
2024-03-23,BTC,63509.04496523133,42436600223.53738,1247366367469.2778
2024-03-24,BTC,64285.80279102199,25489933245.687557,1264722355270.5166
2024-03-25,BTC,67310.98326810106,28098318940.431744,1323456466317.511
2024-03-26,BTC,69938.94530200244,44820310272.647514,1371797489739.3416
2024-03-27,BTC,70082.05122475982,36257324508.56845,1375728580463.2524
2024-03-28,BTC,69435.75040305211,41441040887.822266,1360261687784.1018
2024-03-29,BTC,70710.19534863312,30455289338.47621,1390869723348.0437
2024-03-30,BTC,69919.05546148612,25785951735.485695,1374646886107.8396
2024-03-31,BTC,69702.3087473573,16408802301.837431,1370247487960.0945
2024-04-01,BTC,71246.95144060145,19723005998.21497,1401370211582.3662
2024-04-02,BTC,69785.92503802372,36040088988.53872,1373784286061.3486
2024-04-03,BTC,65440.41922587159,45161133992.09071,1288360536576.547
2024-04-04,BTC,66123.938539074,35559952961.797325,1301670235623.7266
2024-04-05,BTC,68542.17715279506,37516850709.63811,1348455954443.3696
2024-04-06,BTC,67978.61023408506,35132808695.80448,1337452583876.3916
2024-04-07,BTC,69000.6499164776,19119438138.850826,1358548956714.7139
2024-04-08,BTC,69401.97360911008,17935478429.01022,1367272232852.0764
2024-04-09,BTC,71624.18486236996,33111949671.02105,1410324678268.6392
2024-04-10,BTC,69158.64381207665,36488482038.859055,1361830648708.6648
2024-04-11,BTC,70527.88997578963,38378062633.13138,1387722485989.3584
