date,symbol,price_usd,volume_usd,market_cap_usd
2024-02-28,ETH,3242.0476538223666,23696521431.113922,389432101336.1533
2024-02-29,ETH,3380.8039555421246,36665804472.19711,404949329424.75433
2024-03-01,ETH,3347.6904724233455,31202875938.140316,403025040377.09424
2024-03-02,ETH,3431.75199772032,18691101659.270218,413003335539.6049
2024-03-03,ETH,3421.89214692414,13440796396.989847,411127183431.9037
2024-03-04,ETH,3487.190931866777,15521857774.32606,418233465071.6696
2024-03-05,ETH,3634.311067557102,30343202732.344658,436264151585.7691
2024-03-06,ETH,3581.5348849085663,48669816283.38956,430091528234.3316
2024-03-07,ETH,3822.365818156151,39700333919.056915,458288266056.32635
2024-03-08,ETH,3861.9009990137733,25205795146.622765,464203366204.0903
2024-03-09,ETH,3893.6138841967036,27874421858.85126,467263068859.23145
2024-03-10,ETH,3916.041187699099,12069974984.534363,470299637817.79364
2024-03-11,ETH,3887.473104733291,17287014475.12306,466687383451.4314
2024-03-12,ETH,4070.6040749869985,32017734619.898235,488931556413.2426
2024-03-13,ETH,3978.685771378112,29816123516.352203,477282030875.49994
2024-03-14,ETH,4007.9121260756656,24518272534.97694,480989408310.4244
2024-03-15,ETH,3879.038366642958,27637220056.20402,465517630856.3542
2024-03-16,ETH,3738.381184462065,38514576896.82427,449221029692.6131
2024-03-17,ETH,3514.222472178163,20314832749.48201,422006707853.2583
2024-03-18,ETH,3643.280347379834,22282396647.176846,437397993876.3647
2024-03-19,ETH,3525.8936406700236,24255010456.17668,423582810891.4091
2024-03-20,ETH,3171.293836639821,37133280150.8351,381561860658.1416
2024-03-21,ETH,3515.6884318548646,42295137774.34776,422699933046.073
2024-03-22,ETH,3493.4304387798707,24617005638.07842,419250201097.8779
2024-03-23,ETH,3322.891277320318,22143063329.60288,398004903397.5174
2024-03-24,ETH,3353.371241538487,13554704159.635406,402787267255.35004
2024-03-25,ETH,3454.257071389558,12747604656.722906,415227254119.21
2024-03-26,ETH,3588.493402189288,19900586068.611336,429834400084.37524
2024-03-27,ETH,3591.5485279028403,20094722140.101074,430639202176.35944
2024-03-28,ETH,3505.2181161826984,20203376602.227142,419542828392.99164
2024-03-29,ETH,3560.26151146781,17254415551.733036,427723174069.21906
2024-03-30,ETH,3516.096057627979,13632549894.688292,422181197071.7956
2024-03-31,ETH,3507.6606559474685,10414010868.767834,420903294887.95514
2024-04-01,ETH,3644.767598784896,10412761139.068478,437709753307.89496
2024-04-02,ETH,3508.2477201085417,17482844811.257694,421860021837.67065
2024-04-03,ETH,3274.901203544406,23868370966.893692,393781420276.9656
2024-04-04,ETH,3316.6829546775257,16747190219.448904,398415781571.0026
2024-04-05,ETH,3332.089836615912,14937774084.622332,399925086690.5432
2024-04-06,ETH,3320.2815889834437,16263669860.819765,399471237820.5192
2024-04-07,ETH,3362.838907503287,8771021395.59551,403433979836.3418
2024-04-08,ETH,3453.4361261792887,9023927898.393978,414896585077.9774
2024-04-09,ETH,3695.239391141908,17999535003.639297,443574943819.1214
2024-04-10,ETH,3503.6535996841044,18894649449.12416,421250062703.58765
2024-04-11,ETH,3539.7630640649413,18116500905.294914,425100745638.6984
2024-04-12,ETH,3508.5784984486436,14665003517.99341,421184318805.19366
2024-04-13,ETH,3245.5005926983195,20300936214.359665,389342347417.11646
2024-04-14,ETH,3022.0057852476043,30855880984.660038,363676686678.5162
2024-04-15,ETH,3157.683765827796,26426482425.143723,379419782687.94165
2024-04-16,ETH,3101.190735674771,23408068977.225063,372249695864.17804
2024-04-17,ETH,3083.7060147660673,19716139064.53935,370234131392.0656
2024-04-18,ETH,2982.6157347097997,18555883608.901867,358157898515.81726
2024-04-19,ETH,3064.9115922294277,15776619346.387112,368394773234.49
2024-04-20,ETH,3065.682561565907,21398170387.2802,368924952677.7875
2024-04-21,ETH,3152.1915066519473,9245604715.543312,378601475454.5042
2024-04-22,ETH,3147.13775429932,9264213264.253492,377835271557.1954
2024-04-23,ETH,3199.769589894069,12101339610.34102,384466906716.16833
2024-04-24,ETH,3218.9672686428075,11111254140.889095,392775107740.5133
2024-04-25,ETH,3138.814357009402,14931662515.529316,383068563917.3423
2024-04-26,ETH,3157.6193174815944,14827151368.90256,385360500023.0152
2024-04-27,ETH,3131.4192197400516,11150981612.611172,381832436730.7926
2024-04-28,ETH,3259.2522227654413,12739849720.355131,397162781507.14
2024-04-29,ETH,3259.503404256033,10786187404.455635,398637824441.876
2024-04-30,ETH,3213.6890004948136,15480798749.513744,392350038771.61163
2024-05-01,ETH,3018.549635877818,19251155949.751816,368786372970.94403
2024-05-02,ETH,2976.0902075157046,22064350438.409042,364276973974.7534
2024-05-03,ETH,2988.5486490452654,14175880226.413488,358796765165.93835
2024-05-04,ETH,3102.1512923656555,13929437694.673725,373187731785.70636
2024-05-05,ETH,3115.0233215730136,8430889402.258022,374188248701.176
